playerName,From,To,Pos,Ht,Wt,birthDate,Colleges
Jim Eakins,1969,1978,C,11-Jun,215,5/24/1946,BYU
Jim Farmer,1988,1994,G,4-Jun,190,9/23/1964,Alabama
Jim Fox,1968,1977,C-F,10-Jun,230,4/7/1943,South Carolina
Jim Fritsche,1954,1955,F-C,8-Jun,210,12/10/1931,Hamline University
Jim Garvin,1974,1974,F,7-Jun,200,2/5/1950,Boston University
Jim Grandholm,1991,1991,F-C,1-Jul,235,10/4/1960,"Florida, South Florida"
Jim Hadnot,1968,1968,C-F,10-Jun,235,1/15/1940,Providence
Jim Hayes,1971,1971,G,3-Jun,200,2/18/1948,Boston University
Jim Holstein,1953,1956,F-G,3-Jun,180,9/24/1930,Cincinnati
Jim Jackson,1993,2006,G,6-Jun,220,10/14/1970,Ohio State
Jim Jarvis,1968,1969,G,1-Jun,175,3/3/1943,Oregon State
Jim Johnstone,1983,1983,C-F,11-Jun,245,9/20/1960,Wake Forest
Jim King,1964,1973,G,2-Jun,175,2/7/1941,Tulsa
Jim Kissane,1969,1969,F,7-Jun,210,8/17/1946,Boston College
Jim Krebs,1958,1964,C-F,8-Jun,230,9/8/1935,SMU
Jim Lampley,1987,1987,C,10-Jun,230,7/2/1960,"Vanderbilt, Little Rock"
Jim Les,1989,1995,G,11-May,165,8/18/1963,"Cleveland State University, Bradley"
Jim Loscutoff,1956,1964,F,5-Jun,220,2/4/1930,Oregon
Jim Luisi,1954,1954,G,2-Jun,180,11/2/1928,St. Francis College
Jim Marsh,1972,1972,F,7-Jun,215,4/26/1946,USC
Jim McDaniels,1972,1978,C-F,11-Jun,228,4/2/1948,Western Kentucky
Jim McElroy,1976,1982,G,3-Jun,190,10/4/1953,Central Michigan University
Jim McIlvaine,1995,2001,C,1-Jul,240,7/30/1972,Marquette
Jim McMillian,1971,1979,F,5-Jun,215,3/11/1948,Columbia University
Jim Mooney,1953,1953,F,5-Jun,215,7/8/1930,Villanova
Jim Neal,1954,1955,C,11-Jun,235,5/21/1930,Wofford College
Jim Nolan,1950,1950,C,8-Jun,210,6/9/1927,Georgia Tech
Jim O'Brien,1974,1975,F,7-Jun,200,11/7/1951,Maryland
Jim Owens,1974,1975,F,5-Jun,200,5/1/1950,Arizona State
Jim Palmer,1959,1961,F-C,8-Jun,224,6/8/1933,Dayton
Jim Paxson,1957,1958,F-G,6-Jun,200,12/19/1932,Dayton
Jim Paxson,1980,1990,G-F,6-Jun,200,7/9/1957,Dayton
Jim Petersen,1985,1992,F-C,10-Jun,235,2/22/1962,Minnesota
Jim Phelan,1954,1954,G,1-Jun,175,3/19/1929,La Salle
Jim Pollard*,1949,1955,F-C,4-Jun,185,7/9/1922,Stanford
Jim Price,1973,1979,G,3-Jun,195,11/27/1949,Louisville
Jim Ray,1957,1960,G,1-Jun,180,1/12/1934,Toledo
Jim Reid,1968,1968,F,6-Jun,210,8/3/1945,Winston-Salem State
Jim Riffey,1951,1951,F,4-Jun,200,12/14/1923,Tulane
Jim Rowinski,1989,1990,F-C,8-Jun,250,1/4/1961,Purdue
Jim Seminoff,1947,1950,G-F,2-Jun,190,9/1/1922,USC
Jim Slaughter,1952,1952,C,11-Jun,210,5/13/1928,South Carolina
Jim Smith,1982,1983,F,9-Jun,225,4/12/1958,Ohio State
Jim Spanarkel,1980,1984,G-F,5-Jun,190,6/28/1957,Duke
Jim Springer,1949,1949,C,9-Jun,235,6/17/1926,
Jim Spruill,1949,1949,G,2-Jun,225,2/26/1923,Rice University
Jim Thomas,1984,1991,G,3-Jun,190,10/19/1960,Indiana
Jim Tucker,1955,1957,F,7-Jun,185,12/11/1932,Duquesne
Jim Walsh,1958,1958,F,4-Jun,195,8/29/1930,Stanford
Jim Ware,1967,1969,F,7-Jun,210,5/2/1944,Oklahoma City University
Jim Washington,1966,1976,F-C,6-Jun,210,7/1/1943,Villanova
Jim Wilson,1971,1971,G,10-May,175,,Cheyney (PA)
Jim Zoet,1983,1983,C,1-Jul,240,12/20/1953,Kent State University
Jimmer Fredette,2012,2019,G,2-Jun,195,2/25/1989,BYU
Jimmie Baker,1976,1976,F,9-Jun,220,12/25/1953,Hawaii
Jimmy Butler,2012,2022,F-G,7-Jun,230,9/14/1989,Marquette
Jimmy Carruth,1997,1997,C-F,10-Jun,265,11/4/1969,Virginia Tech
Jimmy Collins,1971,1972,G,2-Jun,175,11/24/1946,New Mexico State
Jimmy Conner,1976,1976,G,4-Jun,190,3/20/1953,Kentucky
Jimmy Darden,1950,1950,G,1-Jun,170,6/19/1922,Denver
Jimmy Darrow,1962,1962,G,10-May,170,9/25/1937,Bowling Green
Jimmy Dawson,1968,1968,G,1-Jun,175,4/18/1945,Illinois
Jimmy Foster,1975,1976,G,1-Jun,175,12/16/1951,UConn
Jimmy Jones,1968,1977,G,4-Jun,188,1/1/1945,Grambling State University
Jimmy King,1996,1997,G,5-Jun,210,8/9/1973,Michigan
Jimmy O'Brien,1972,1975,G,1-Jun,170,4/9/1950,Boston College
Jimmy Oliver,1992,1999,G-F,5-Jun,205,7/12/1969,Purdue
Jimmy Rayl,1968,1969,G,2-Jun,175,6/21/1941,Indiana
Jimmy Walker,1968,1976,G,3-Jun,195,4/8/1944,Providence
Jo a£o Vianna,1992,1992,F,9-Jun,215,11/15/1966,
Jo Jo English,1993,1995,G,4-Jun,195,2/4/1970,South Carolina
Jo Jo White*,1970,1981,G,3-Jun,190,11/16/1946,Kansas
Joakim Noah,2008,2020,C,11-Jun,230,2/25/1985,Florida
Joby Wright,1973,1976,F-C,8-Jun,220,9/5/1950,Indiana
Jock Landale,2022,2022,C,11-Jun,256,10/25/1995,Saint Mary's
Jodie Meeks,2010,2019,G,4-Jun,210,8/21/1987,Kentucky
Joe Alexander,2009,2010,F,8-Jun,230,12/26/1986,West Virginia
Joe Arlauckas,1988,1988,F,9-Jun,230,7/20/1965,Niagara University
Joe Barry Carroll,1981,1991,C-F,1-Jul,225,7/24/1958,Purdue
Joe Binion,1987,1987,F,8-Jun,235,3/26/1961,North Carolina A&T
Joe Bradley,1950,1950,G,3-Jun,175,9/24/1928,Oklahoma State
Joe Bryant,1976,1983,F-C,9-Jun,185,10/19/1954,La Salle
Joe Buckhalter,1962,1963,F,7-Jun,210,8/1/1937,Tennessee State
Joe Caldwell,1965,1975,F-G,5-Jun,195,11/1/1941,Arizona State
Joe Chealey,2019,2020,G,3-Jun,190,11/1/1995,College of Charleston
Joe Colone,1949,1949,F,5-Jun,210,1/23/1924,Bloomsburg University of Pennsylvania
Joe Cooke,1971,1971,G,3-Jun,175,8/14/1948,Indiana
Joe Cooper,1982,1985,C-F,10-Jun,230,9/1/1957,"Howard University, Tulsa, Colorado"
Joe Courtney,1993,1997,F,8-Jun,235,10/17/1969,"Mississippi State, Southern Miss"
Joe Crawford,2009,2009,F,5-Jun,210,6/17/1986,Kentucky
Joe Crispin,2002,2002,G,1-Jun,185,7/18/1979,Penn State
Joe DePre,1971,1973,G,3-Jun,185,12/19/1947,St. John's
Joe Dolhon,1950,1951,G,1-Jun,175,7/9/1927,NYU
Joe Dumars*,1986,1999,G,3-Jun,190,5/24/1963,McNeese State University
Joe Ellis,1967,1974,F-G,6-Jun,175,5/3/1944,San Francisco
Joe Fabel,1947,1947,F-G,1-Jun,190,5/15/1917,Pitt
Joe Fulks*,1947,1954,F-C,5-Jun,190,10/26/1921,Murray State
Joe Graboski,1949,1962,F-C,7-Jun,195,1/15/1930,
Joe Hamilton,1971,1976,G,10-May,160,7/5/1948,University of North Texas
Joe Hamood,1968,1968,G,1-Jun,180,9/7/1943,Houston
Joe Harris,2015,2022,G,6-Jun,220,9/6/1991,Virginia
Joe Hassett,1978,1983,G,5-Jun,180,9/11/1955,Providence
Joe Holland,1950,1952,F,4-Jun,185,9/26/1925,Kentucky
Joe Holup,1957,1959,F,6-Jun,215,2/26/1934,George Washington
Joe Hutton,1951,1952,G,1-Jun,170,10/6/1928,Hamline University
Joe Ingles,2015,2022,F-G,8-Jun,220,10/2/1987,
Joe Johnson,2002,2022,G-F,7-Jun,240,6/29/1981,Arkansas
Joe Kennedy,1969,1971,F,6-Jun,210,1/12/1947,Duke
Joe Kleine,1986,2000,C,11-Jun,255,1/4/1962,"Notre Dame, Arkansas"
Joe Kopicki,1983,1985,F,9-Jun,240,6/12/1960,Detroit Mercy
Joe McNamee,1951,1952,F-C,6-Jun,210,9/24/1926,San Francisco
Joe Meriweather,1976,1985,C-F,10-Jun,215,10/26/1953,Southern Illinois
Joe Mullaney,1950,1950,G,1-Jun,165,11/17/1924,Holy Cross
Joe Pace,1977,1978,C,10-Jun,220,12/18/1953,Coppin State University
Joe Reaves,1974,1974,F,5-Jun,210,5/27/1950,Bethel College
Joe Roberts,1961,1968,F,6-Jun,214,5/18/1936,Ohio State
Joe Ruklick,1960,1962,F-C,9-Jun,220,8/3/1938,Northwestern
Joe Smith,1996,2011,F,10-Jun,225,7/26/1975,Maryland
Joe Smyth,1954,1954,F,3-Jun,215,5/22/1929,Niagara University
Joe Stephens,1997,2000,F,7-Jun,210,1/28/1973,"Colorado, Little Rock"
Joe Strawder,1966,1968,C,10-Jun,235,9/21/1940,Bradley
Joe Thomas,1971,1971,F,6-Jun,205,3/9/1948,Marquette
Joe Wieskamp,2022,2022,G,6-Jun,212,8/23/1999,Iowa
Joe Wolf,1988,1999,F-C,11-Jun,230,12/17/1964,UNC
Joe Young,2016,2018,G,2-Jun,180,6/27/1992,"Houston, Oregon"
Joel Anthony,2008,2017,C,9-Jun,245,8/9/1982,UNLV
Joel Ayayi,2022,2022,G,5-Jun,180,3/5/2000,Gonzaga
Joel Bolomboy,2017,2018,F,9-Jun,235,1/28/1994,Weber State
Joel Embiid,2017,2022,C,1-Jul,280,3/16/1994,Kansas
Joel Freeland,2013,2015,F-C,10-Jun,250,2/7/1987,
Joel Kramer,1979,1983,F-C,7-Jun,203,11/30/1955,San Diego State
Joel Przybilla,2001,2013,C,1-Jul,255,10/10/1979,Minnesota
Joey Dorsey,2009,2015,F,8-Jun,268,12/16/1983,Memphis
Joey Graham,2006,2011,F,7-Jun,225,6/11/1982,"Central Florida, Oklahoma State"
Joffrey Lauvergne,2015,2018,C-F,11-Jun,220,9/30/1991,
Johan Petro,2006,2013,C,1-Jul,247,1/27/1986,
John Abramovic,1947,1948,F,3-Jun,195,2/9/1919,Salem University
John Amaechi,1996,2003,C-F,10-Jun,270,11/26/1970,"Vanderbilt, Penn State"
John Arthurs,1970,1970,G,4-Jun,185,8/15/1947,Tulane
John Bagley,1983,1994,G,1-Jun,185,4/23/1960,Boston College
John Barber,1957,1957,F,6-Jun,210,6/27/1927,"California State University, Los Angeles"
John Barnhill,1963,1972,G,1-Jun,180,3/20/1938,Tennessee State
John Barr,1947,1947,F,3-Jun,205,8/18/1918,Penn State
John Battle,1986,1995,G,2-Jun,175,11/9/1962,Rutgers University
John Beasley,1968,1974,F-C,9-Jun,225,2/5/1944,Texas A&M
John Block,1967,1976,F-C,9-Jun,207,4/16/1944,USC
John Brisker,1970,1975,F-G,5-Jun,210,6/15/1947,Toledo
John Brown,1974,1980,F,7-Jun,220,12/14/1951,Missouri
John Celestand,2000,2000,G,4-Jun,178,3/6/1977,Villanova
John Chaney,1950,1950,F-C,3-Jun,185,2/29/1920,LSU
John Clawson,1969,1969,F,4-Jun,200,5/15/1944,Michigan
John Coker,1996,2001,C,1-Jul,253,10/28/1971,Boise State
John Collins,2018,2022,F,9-Jun,235,9/23/1997,Wake Forest
John Comeaux,1968,1968,F,5-Jun,193,9/15/1943,Grambling State University
John Coughran,1980,1980,F,7-Jun,225,9/12/1951,California
John Crotty,1993,2003,G,1-Jun,185,7/15/1969,Virginia
John Dickson,1968,1968,C,10-Jun,240,11/18/1945,Arkansas State University
John Douglas,1982,1983,G,2-Jun,170,6/12/1956,Kansas
John Drew,1975,1985,F-G,6-Jun,205,9/30/1954,Gardner-Webb University
John Duren,1981,1983,G,3-Jun,195,10/30/1958,Georgetown
John Edwards,2005,2006,C,1-Jul,275,7/31/1981,Kent State University
John Fairchild,1966,1970,F,8-Jun,205,4/28/1943,BYU
John Garris,1984,1984,F,8-Jun,205,6/6/1959,"Michigan, Boston College"
John Gianelli,1973,1980,C-F,10-Jun,220,6/10/1950,University of the Pacific
John Greig,1983,1983,F,7-Jun,215,4/28/1961,Oregon
John Hargis,1950,1951,G-F,2-Jun,180,8/20/1920,Texas
John Havlicek*,1963,1978,F-G,5-Jun,203,4/8/1940,Ohio State
John Hazen,1949,1949,G,2-Jun,172,3/2/1927,Indiana State University
John Henson,2013,2020,C-F,9-Jun,219,12/28/1990,UNC
John Holland,2018,2019,G-F,5-Jun,205,11/6/1988,Boston University
John Hummer,1971,1976,F-C,9-Jun,230,5/4/1948,Princeton
John Janisch,1947,1948,F-G,3-Jun,200,3/15/1920,Valparaiso
John Jenkins,2013,2019,G,4-Jun,215,3/6/1991,Vanderbilt
John Johnson,1971,1982,F,7-Jun,200,10/18/1947,Iowa
John Konchar,2020,2022,G,5-Jun,210,3/22/1996,Purdue-Fort Wayne
John Kuester,1978,1980,G,2-Jun,180,2/6/1955,UNC
John Lambert,1976,1982,C-F,10-Jun,225,1/14/1953,USC
John Laskowski,1976,1977,G,6-Jun,185,6/7/1953,Indiana
John Logan,1947,1951,G,2-Jun,175,1/1/1921,Indiana
John Long,1979,1997,G-F,5-Jun,195,8/28/1956,Detroit Mercy
John Lucas,1977,1990,G,3-Jun,175,10/31/1953,Maryland
John Lucas III,2006,2017,G,11-May,166,11/21/1982,"Baylor, Oklahoma State"
John Mahnken,1947,1953,C,8-Jun,220,6/16/1922,Georgetown
John Mandic,1949,1950,F-C,4-Jun,205,10/3/1919,Oregon State
John McConathy,1952,1952,F,5-Jun,195,4/9/1930,Northwestern State University
John McCullough,1982,1982,G,4-Jun,190,10/5/1956,Oklahoma
John Mengelt,1972,1981,G,2-Jun,195,10/16/1949,Auburn
John Mills,1947,1947,C-F,8-Jun,203,9/7/1919,Western Kentucky
John Morrison,1968,1968,G,2-Jun,190,5/2/1945,Canisius
John Morton,1990,1992,G,3-Jun,180,5/18/1967,Seton Hall
John Murphy,1947,1947,F,2-Jun,175,9/13/1924,
John O'Boyle,1953,1953,G,2-Jun,185,3/7/1928,Colorado State
John Oldham,1950,1951,G,3-Jun,175,6/22/1923,Western Kentucky
John Olive,1979,1980,F,7-Jun,210,3/1/1955,Villanova
John Paxson,1984,1994,G,2-Jun,185,9/29/1960,Notre Dame
John Pilch,1952,1952,F,3-Jun,185,7/11/1925,Wyoming
John Pinone,1984,1984,F,8-Jun,230,2/19/1961,Villanova
John Postley,1968,1968,F,5-Jun,220,5/30/1940,Bethune-Cookman College
John Pritchard,1950,1950,C,9-Jun,220,1/23/1927,Drake University
John Rennicke,1952,1952,G,2-Jun,185,8/11/1929,Drake University
John Richter,1960,1960,F,9-Jun,225,3/12/1937,NC State
John Roche,1972,1982,G,3-Jun,170,9/26/1949,South Carolina
John Rudd,1979,1979,F,7-Jun,230,8/7/1955,McNeese State University
John Rudometkin,1963,1965,F,6-Jun,205,6/6/1940,USC
John Salley,1987,2000,F-C,11-Jun,230,5/16/1964,Georgia Tech
John Salmons,2003,2015,G,7-Jun,210,12/12/1979,Miami (FL)
John Schweitz,1985,1987,G,6-Jun,210,4/19/1960,Richmond
John Shasky,1989,1991,C,11-Jun,235,7/31/1964,Minnesota
John Shumate,1976,1981,F-C,9-Jun,235,4/6/1952,Notre Dame
John Smith,1969,1970,C,1-Jul,235,5/24/1944,University of Southern Colorado
John Starks,1989,2002,G,3-Jun,180,8/10/1965,Oklahoma State
John Stockton*,1985,2003,G,1-Jun,170,3/26/1962,Gonzaga
John Stroeder,1988,1989,F,10-Jun,260,7/24/1958,Montana
John Stroud,1981,1981,F,7-Jun,215,10/29/1957,Ole Miss
John Thomas,1998,2006,F,9-Jun,265,9/8/1975,Minnesota
John Thompson*,1965,1966,F,10-Jun,225,9/2/1941,Providence
John Trapp,1969,1973,F,7-Jun,210,10/2/1945,UNLV
John Tresvant,1965,1973,F-C,7-Jun,215,11/6/1939,Seattle University
John Tschogl,1973,1975,F,6-Jun,206,4/25/1950,UC Santa Barbara
John Turner,1992,1992,F,8-Jun,245,11/30/1967,"Georgetown, Phillips University"
John Vallely,1971,1972,G,3-Jun,185,10/3/1948,UCLA
John Wall,2011,2021,G,3-Jun,210,9/6/1990,Kentucky
John Wallace,1997,2004,F,8-Jun,225,2/9/1974,Syracuse
John Warren,1970,1974,G-F,3-Jun,180,7/7/1947,St. John's
John Wetzel,1968,1976,G-F,5-Jun,190,10/22/1944,Virginia Tech
John Williams,1987,1995,F-C,8-Jun,235,10/26/1966,LSU
John Williamson,1974,1981,G,2-Jun,185,11/10/1951,New Mexico State
John Windsor,1964,1964,F,8-Jun,215,4/3/1940,Stanford
Johnathan Motley,2018,2020,F,8-Jun,230,5/4/1995,Baylor
Johnathan Williams,2019,2020,F,9-Jun,228,5/22/1995,"Missouri, Gonzaga"
Johnny Austin,1967,1968,G,1-Jun,170,8/31/1944,Boston College
Johnny Bach,1949,1949,F-G,2-Jun,180,7/10/1924,Fordham
Johnny Baum,1970,1974,F,5-Jun,200,6/17/1946,Temple
Johnny Cox,1963,1963,G,4-Jun,180,11/1/1936,Kentucky
Johnny Davis,1977,1986,G,2-Jun,170,10/21/1955,Dayton
Johnny Dawkins,1987,1995,G,2-Jun,165,9/28/1963,Duke
Johnny Egan,1962,1972,G,11-May,180,1/31/1939,Providence
Johnny Ezersky,1948,1950,F-G,3-Jun,175,3/21/1922,Rhode Island
Johnny Green,1960,1973,F-C,5-Jun,200,12/8/1933,Michigan State
Johnny High,1980,1984,G,3-Jun,185,4/25/1957,Nevada
Johnny Horan,1956,1956,F,8-Jun,190,11/24/1932,Dayton
Johnny Jones,1968,1969,F,7-Jun,205,3/12/1943,"California State University, Los Angeles"
Johnny Jorgensen,1948,1949,G-F,2-Jun,185,12/28/1921,DePaul
Johnny Macknowski,1950,1951,G-F,1-Jun,180,1/7/1923,Seton Hall
Johnny Mathis,1968,1968,F,6-Jun,220,7/14/1943,Savannah State University
Johnny McCarthy,1957,1964,G,1-Jun,185,4/25/1934,Canisius
Johnny Moore,1981,1990,G,1-Jun,175,3/3/1958,Texas
Johnny Neumann,1972,1978,G-F,6-Jun,200,9/11/1951,Ole Miss
Johnny Newman,1987,2002,F-G,7-Jun,190,11/28/1963,Richmond
Johnny Norlander,1947,1951,F,3-Jun,180,3/5/1921,Hamline University
Johnny O'Bryant,2015,2018,F-C,9-Jun,257,6/1/1993,LSU
Johnny Orr,1950,1950,F,3-Jun,195,6/10/1927,Beloit College
Johnny Payak,1950,1953,G-F,4-Jun,174,11/20/1926,Bowling Green
Johnny Rogers,1987,1988,F-C,10-Jun,225,12/30/1963,"Stanford, University of California, Irvine"
Johnny Simmons,1947,1947,G,1-Jun,184,7/7/1924,NYU
Johnny Taylor,1998,2000,F,9-Jun,220,6/4/1974,"Indian Hills Community College, Chattanooga"
Jon Barry,1993,2006,G,4-Jun,195,7/25/1969,"University of the Pacific, Georgia Tech"
Jon Brockman,2010,2012,F,7-Jun,255,3/20/1987,Washington
Jon Koncak,1986,1996,C-F,1-Jul,250,5/17/1963,SMU
Jon Leuer,2012,2019,F,10-Jun,228,5/14/1989,Wisconsin
Jon McGlocklin,1966,1976,G-F,5-Jun,205,6/10/1943,Indiana
Jon Sundvold,1984,1992,G,2-Jun,170,7/2/1961,Missouri
Jon Teske,2022,2022,C,1-Jul,265,5/4/1997,Michigan
Jonah Bolden,2019,2020,F,8-Jun,220,1/2/1996,UCLA
Jonas Jerebko,2010,2019,F,10-Jun,231,3/2/1987,
Jonas Valan,2013,2022,C,11-Jun,265,5/6/1992,
Jonathan Bender,2000,2010,F,11-Jun,202,1/30/1981,
Jonathan Gibson,2017,2018,G,2-Jun,185,11/8/1987,New Mexico State
Jonathan Isaac,2018,2020,F,11-Jun,230,10/3/1997,Florida State
Jonathan Kerner,1999,1999,C,11-Jun,245,6/6/1974,"Florida State, East Carolina University"
Jonathan Kuminga,2022,2022,F,8-Jun,210,10/6/2002,
Jonathon Simmons,2016,2019,G-F,6-Jun,195,9/14/1989,Houston
Jonny Flynn,2010,2012,G,1-Jun,185,2/6/1989,Syracuse
Jontay Porter,2021,2021,F-C,11-Jun,240,11/15/1999,Missouri
Jordan Adams,2015,2016,G,5-Jun,209,7/8/1994,UCLA
Jordan Bell,2018,2022,F,8-Jun,216,1/7/1995,Oregon
Jordan Bone,2020,2021,G,2-Jun,180,11/5/1997,Tennessee
Jordan Clarkson,2015,2022,G,4-Jun,194,6/7/1992,"Tulsa, Missouri"
Jordan Crawford,2011,2018,G,4-Jun,195,10/23/1988,"Indiana, Xavier"
Jordan Farmar,2007,2017,G,2-Jun,180,11/30/1986,UCLA
Jordan Goodwin,2022,2022,G,3-Jun,200,10/23/1998,Saint Louis
Jordan Hamilton,2012,2016,G-F,7-Jun,220,10/6/1990,Texas
Jordan Hill,2010,2017,C-F,10-Jun,235,7/27/1987,Arizona
Jordan Loyd,2019,2019,G,4-Jun,210,7/27/1993,"Furman University, University of Indianapolis"
Jordan McLaughlin,2020,2022,G,11-May,185,4/9/1996,USC
Jordan McRae,2016,2020,G,5-Jun,179,3/28/1991,Tennessee
Jordan Mickey,2016,2018,F,8-Jun,235,7/9/1994,LSU
Jordan Nwora,2021,2022,F,8-Jun,225,9/9/1998,Louisville
Jordan Poole,2020,2022,G,4-Jun,194,6/19/1999,Michigan
Jordan Schakel,2022,2022,F,6-Jun,200,6/13/1998,San Diego State
Jordan Sibert,2019,2019,G,4-Jun,187,8/1/1992,"Ohio State, Dayton"
Jordan Williams,2012,2012,F,10-Jun,260,10/11/1990,Maryland
Jorge Garbajosa,2007,2008,F,9-Jun,245,12/19/1977,
Jorge Guittarez,2014,2016,G,3-Jun,191,12/27/1988,California
Jos Calder,2006,2019,G,3-Jun,200,9/28/1981,
Jos Ortiz,1989,1990,F,10-Jun,225,10/25/1963,Oregon State
Jose Alvarado,2022,2022,G,1-Jun,179,4/12/1998,Georgia Tech
Jose Slaughter,1983,1983,G,5-Jun,205,9/9/1960,University of Portland
Joseph Forte,2002,2003,G,4-Jun,194,3/23/1981,UNC
Josh Akognon,2013,2013,G,11-May,185,2/10/1986,"Washington State, Cal State Fullerton"
Josh Boone,2007,2010,F-C,10-Jun,237,11/21/1984,UConn
Josh Childress,2005,2014,G-F,8-Jun,210,6/20/1983,Stanford
Josh Christopher,2022,2022,G,5-Jun,215,12/8/2001,Arizona State
Josh Davis,2004,2012,F,8-Jun,235,8/10/1980,Wyoming
Josh Giddey,2022,2022,G,8-Jun,210,10/10/2002,
Josh Grant,1994,1994,F,9-Jun,223,8/7/1967,Utah
Josh Gray,2018,2020,G,1-Jun,180,9/9/1993,LSU
Josh Green,2021,2022,G-F,5-Jun,200,11/16/2000,Arizona
Josh Hall,2021,2021,F,9-Jun,190,10/8/2000,
Josh Harrellson,2012,2014,C,10-Jun,275,2/12/1989,Kentucky
Josh Hart,2018,2022,G,5-Jun,215,3/6/1995,Villanova
Josh Howard,2004,2013,F-G,7-Jun,210,4/28/1980,Wake Forest
Josh Huestis,2016,2018,F,7-Jun,230,12/19/1991,Stanford
Josh Jackson,2018,2022,F-G,8-Jun,207,2/10/1997,Kansas
Josh Magette,2018,2020,G,1-Jun,160,11/28/1989,Alabama-Huntsville
Josh McRoberts,2008,2018,F,10-Jun,240,2/28/1987,Duke
Josh Okogie,2019,2022,G,4-Jun,213,9/1/1998,Georgia Tech
Josh Powell,2006,2014,F,9-Jun,225,1/25/1983,NC State
Josh Reaves,2020,2020,G,4-Jun,214,6/4/1997,Penn State
Josh Richardson,2016,2022,G,5-Jun,200,9/15/1993,Tennessee
Josh Selby,2012,2013,G,2-Jun,183,3/27/1991,Kansas
Josh Smith,2005,2018,F,9-Jun,225,12/5/1985,
Joshua Primo,2022,2022,G,6-Jun,190,12/24/2002,Alabama
Jrue Holiday,2010,2022,G,3-Jun,205,6/12/1990,UCLA
JT Thor,2022,2022,F,10-Jun,205,8/26/2002,Auburn
Juan Carlos Navarro,2008,2008,G,3-Jun,170,6/13/1980,
Juan Dixon,2003,2009,G,3-Jun,164,10/9/1978,Maryland
Juan Toscano-Anderson,2020,2022,F,6-Jun,209,4/10/1993,Marquette
Juancho Hernang amez,2017,2022,F,9-Jun,214,9/28/1995,
Juaquin Hawkins,2003,2003,G-F,7-Jun,220,7/2/1973,Cal State Long Beach
Jud Buechler,1991,2002,F-G,6-Jun,220,6/19/1968,Arizona
Julian Hammond,1968,1972,F,5-Jun,205,5/27/1943,Tulsa
Julian Washburn,2019,2019,F,8-Jun,210,12/18/1991,Texas-El Paso
Julian Wright,2008,2011,F,8-Jun,225,5/20/1987,Kansas
Julius Erving,1972,1987,F-G,7-Jun,210,2/22/1950,UMass
Julius Hodge,2006,2007,G,7-Jun,210,11/18/1983,NC State
Julius Keye,1970,1975,F-C,10-Jun,200,9/5/1946,"South Carolina State, Alcorn State"
Julius Nwosu,1995,1995,C,10-Jun,255,5/1/1971,Liberty
Julius Randle,2015,2022,F-C,8-Jun,250,11/29/1994,Kentucky
Julyan Stone,2012,2018,G,6-Jun,200,12/7/1988,Texas-El Paso
Jumaine Jones,2000,2007,F,8-Jun,218,2/10/1979,Georgia
Junior Bridgeman,1976,1987,F-G,5-Jun,210,9/17/1953,Louisville
Junior Burrough,1996,1996,F,8-Jun,242,1/18/1973,Virginia
Junior Harrington,2003,2007,G,4-Jun,180,10/2/1980,Wingate University
Justin Anderson,2016,2022,G,6-Jun,230,11/19/1993,Virginia
Justin Champagnie,2022,2022,F,6-Jun,200,6/29/2001,Pitt
Justin Dentmon,2012,2013,G,11-May,185,9/5/1985,Washington
Justin Hamilton,2014,2017,C,1-Jul,260,4/1/1990,"Iowa State, LSU"
Justin Harper,2012,2017,F,10-Jun,225,8/30/1989,Richmond
Justin Holiday,2013,2022,F,6-Jun,180,4/5/1989,Washington
Justin Jackson,2018,2022,G-F,8-Jun,220,3/28/1995,UNC
Justin James,2020,2021,G,7-Jun,190,1/24/1997,Wyoming
Justin Patton,2018,2021,C,11-Jun,241,6/14/1997,Creighton
Justin Reed,2005,2007,F,8-Jun,240,1/16/1982,Ole Miss
Justin Robinson,2020,2022,G,1-Jun,195,10/12/1997,Virginia Tech
Justin Williams,2007,2008,F,10-Jun,225,5/12/1984,Wyoming
Justin Wright-Foreman,2020,2020,G,1-Jun,190,10/27/1997,Hofstra
Justise Winslow,2016,2022,F,6-Jun,222,3/26/1996,Duke
Justus Thigpen,1970,1974,G,1-Jun,160,8/13/1947,Weber State
Jusuf Nurki,2015,2022,C,11-Jun,290,8/23/1994,
Juwan Howard,1995,2013,F,9-Jun,240,2/7/1973,Michigan
Juwan Morgan,2020,2022,F,7-Jun,232,4/17/1997,Indiana
K.C. Jones,1959,1967,G,1-Jun,200,5/25/1932,San Francisco
K.J. McDaniels,2015,2017,G-F,6-Jun,205,2/9/1993,Clemson
Kadeem Allen,2018,2020,G,1-Jun,200,1/15/1993,Arizona
Kai Jones,2022,2022,F-C,11-Jun,218,1/19/2001,Texas
Kalin Lucas,2015,2019,G,1-Jun,195,5/24/1989,Michigan State
Kaniel Dickens,2004,2008,F,8-Jun,215,7/21/1978,"Tyler Junior College, Idaho"
Kannard Johnson,1988,1988,F,9-Jun,220,6/24/1965,Western Kentucky
Kareem Abdul-Jabbar,1970,1989,C,2-Jul,225,4/16/1947,UCLA
Kareem Rush,2003,2010,G,6-Jun,215,10/30/1980,Missouri
Karim Man,2021,2021,G,3-Jun,190,5/16/2000,Vanier College
Karl Malone,1986,2004,F,9-Jun,250,7/24/1963,Louisiana Tech
